Province ,University ,Undergraduate Enrollment 
Alberta,McEwan University ,12693
Alberta,University of Alberta ,29814
Alberta,University of Calgary ,26182
Alberta,University of Lethbridge ,7649
British Columbia ,Simon Fraser ,12919
British Columbia ,Thompson Rivers Univeristy ,8317
British Columbia ,University of British Columbia ,38417
British Columbia ,University of Victoria ,14631
Manitoba ,University of Winnipeg ,7542
Manitoba ,University of Mantioba ,22456
Nova Scotia ,Dalhousie University ,13615
Nova Scotia ,Saint Mary's University ,5474
Ontario,McMaster University ,28900
Ontario,Queen's University ,21400
Ontario,University of Ottawa ,31700
Ontario,University of Toronto ,65600
Ontario,Univerity of Waterloo ,33100
Ontario,York University ,42900
Quebec ,Concordia University ,21278
Quebec ,McGill University ,23907
Quebec ,Universite de Montreal ,25689
Quebec ,Universite du Sherbrooke ,11973
Quebec ,Universite Laval ,22155
Saskatchewan ,University of Regina ,9822
Saskatchewan ,University of Saskatchewan ,16805
